"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00166130","CHALMETTE, LA US","2017-10-01","0.00","0.0","0.0","93","72","78"
"USC00166130","CHALMETTE, LA US","2017-10-02","1.13","0.0","0.0","84","71","71"
"USC00166130","CHALMETTE, LA US","2017-10-03","6.02","0.0","0.0","81","71","77"
"USC00166130","CHALMETTE, LA US","2017-10-04","0.00","0.0","0.0","84","74","75"
"USC00166130","CHALMETTE, LA US","2017-10-05","0.00","0.0","0.0","82","70","70"
"USC00166130","CHALMETTE, LA US","2017-10-06","0.00","0.0","0.0","85","70","71"
"USC00166130","CHALMETTE, LA US","2017-10-07","0.00","0.0","0.0","85","71","79"
"USC00166130","CHALMETTE, LA US","2017-10-08","1.84","0.0","0.0","84","74","79"
"USC00166130","CHALMETTE, LA US","2017-10-09","0.00","0.0","0.0","91","74","76"
"USC00166130","CHALMETTE, LA US","2017-10-10","0.00","0.0","0.0","89","75","75"
"USC00166130","CHALMETTE, LA US","2017-10-11","0.26","0.0","0.0","93","74","74"
"USC00166130","CHALMETTE, LA US","2017-10-12","0.00","0.0","0.0","92","73","74"
"USC00166130","CHALMETTE, LA US","2017-10-13","0.00","0.0","0.0","91","72","72"
"USC00166130","CHALMETTE, LA US","2017-10-14","0.00","0.0","0.0","91","72","76"
"USC00166130","CHALMETTE, LA US","2017-10-15","0.17","0.0","0.0","88","75","76"
"USC00166130","CHALMETTE, LA US","2017-10-16","0.28","0.0","0.0","86","70","70"
"USC00166130","CHALMETTE, LA US","2017-10-17","0.00","0.0","0.0","77","57","57"
"USC00166130","CHALMETTE, LA US","2017-10-18","0.00","0.0","0.0","75","57","62"
"USC00166130","CHALMETTE, LA US","2017-10-19","0.00","0.0","0.0","79","62","62"
"USC00166130","CHALMETTE, LA US","2017-10-20","0.00","0.0","0.0","82","62","67"
"USC00166130","CHALMETTE, LA US","2017-10-21","0.00","0.0","0.0","80","67","72"
"USC00166130","CHALMETTE, LA US","2017-10-22","0.36","0.0","0.0","88","72","75"
"USC00166130","CHALMETTE, LA US","2017-10-23","0.58","0.0","0.0","84","63","63"
"USC00166130","CHALMETTE, LA US","2017-10-24","0.00","0.0","0.0","77","56","59"
"USC00166130","CHALMETTE, LA US","2017-10-25","0.00","0.0","0.0","76","53","53"
"USC00166130","CHALMETTE, LA US","2017-10-26","0.00","0.0","0.0","70","51","51"
"USC00166130","CHALMETTE, LA US","2017-10-27","0.00","0.0","0.0","79","50","67"
